# Athena++ data at time=2.519530e-01  cycle=129  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999896263329147e-01   5.9999996386302223e-01   1.9011099384779452e-11   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999896325808280e-01   5.9999996388471055e-01   3.0474142334460263e-11   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999896450726244e-01   5.9999996392804644e-01   5.3659634796674070e-11   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999896638005104e-01   5.9999996399297795e-01   7.3430584210146604e-11   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999896887565753e-01   5.9999996407980316e-01   9.4719956641101627e-11   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999897199233778e-01   5.9999996418822710e-01   1.1569484353745348e-10   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999897572837315e-01   5.9999996431834512e-01   1.3677854102708282e-10   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999898008144050e-01   5.9999996447000681e-01   1.5771909648105482e-10   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999898504891982e-01   5.9999996464312078e-01   1.7852631272877349e-10   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999899062777431e-01   5.9999996483753981e-01   1.9917308703365873e-10   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999899681462345e-01   5.9999996505312458e-01   2.1967329325703108e-10   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999900360572569e-01   5.9999996528973176e-01   2.4003407299799700e-10   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999901099699118e-01   5.9999996554722168e-01   2.6025782418100653e-10   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999901898398091e-01   5.9999996582544923e-01   2.8033502269820823e-10   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999902756189429e-01   5.9999996612425854e-01   3.0024985785670319e-10   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999903672557189e-01   5.9999996644347697e-01   3.1998556739449518e-10   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999904646949478e-01   5.9999996678291379e-01   3.3952719927594048e-10   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999905678779299e-01   5.9999996714236303e-01   3.5886258245629727e-10   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999906767424707e-01   5.9999996752160534e-01   3.7798124564454413e-10   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999907912229835e-01   5.9999996792041055e-01   3.9687240155959935e-10   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999909112505003e-01   5.9999996833853775e-01   4.1552512599237893e-10   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999910367527478e-01   5.9999996877573603e-01   4.3392763926492006e-10   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999911676541009e-01   5.9999996923174215e-01   4.5206911744922421e-10   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999913038757249e-01   5.9999996970628200e-01   4.6993769968506765e-10   0.0000000000000000e+00   0.0000000000000000e+00
