# Athena++ data at time=3.000194e+01  cycle=15361  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002   1.9531250000000000e-03   9.9999899963510108e-01   6.0000000086486727e-01   4.4283543320558130e-10   0.0000000000000000e+00   0.0000000000000000e+00
0003   5.8593750000000000e-03   9.9999900023752264e-01   6.0000000086418526e-01   1.3294946223391748e-09   0.0000000000000000e+00   0.0000000000000000e+00
0004   9.7656250000000000e-03   9.9999900144233822e-01   6.0000000086316196e-01   2.2146450023424031e-09   0.0000000000000000e+00   0.0000000000000000e+00
0005   1.3671875000000000e-02   9.9999900324860491e-01   6.0000000086156813e-01   3.0987603663375726e-09   0.0000000000000000e+00   0.0000000000000000e+00
0006   1.7578125000000000e-02   9.9999900565529409e-01   6.0000000085947869e-01   3.9808902769807580e-09   0.0000000000000000e+00   0.0000000000000000e+00
0007   2.1484375000000000e-02   9.9999900866094993e-01   6.0000000085687255e-01   4.8606646001853508e-09   0.0000000000000000e+00   0.0000000000000000e+00
0008   2.5390625000000000e-02   9.9999901226374466e-01   6.0000000085375260e-01   5.7374971846347628e-09   0.0000000000000000e+00   0.0000000000000000e+00
0009   2.9296875000000000e-02   9.9999901646151790e-01   6.0000000085012140e-01   6.6108790116174059e-09   0.0000000000000000e+00   0.0000000000000000e+00
0010   3.3203125000000000e-02   9.9999902125175100e-01   6.0000000084597926e-01   7.4802776618381389e-09   0.0000000000000000e+00   0.0000000000000000e+00
0011   3.7109375000000000e-02   9.9999902663153606e-01   6.0000000084132898e-01   8.3451706410324442e-09   0.0000000000000000e+00   0.0000000000000000e+00
0012   4.1015625000000000e-02   9.9999903259764955e-01   6.0000000083617289e-01   9.2050369031404695e-09   0.0000000000000000e+00   0.0000000000000000e+00
0013   4.4921875000000000e-02   9.9999903914647281e-01   6.0000000083051364e-01   1.0059357983835927e-08   0.0000000000000000e+00   0.0000000000000000e+00
0014   4.8828125000000000e-02   9.9999904627409353e-01   6.0000000082435423e-01   1.0907619430280417e-08   0.0000000000000000e+00   0.0000000000000000e+00
0015   5.2734375000000000e-02   9.9999905397620259e-01   6.0000000081769833e-01   1.1749309509190011e-08   0.0000000000000000e+00   0.0000000000000000e+00
0016   5.6640625000000000e-02   9.9999906224816004e-01   6.0000000081054983e-01   1.2583921228470508e-08   0.0000000000000000e+00   0.0000000000000000e+00
0017   6.0546875000000000e-02   9.9999907108498376e-01   6.0000000080291294e-01   1.3410951301490774e-08   0.0000000000000000e+00   0.0000000000000000e+00
0018   6.4453125000000000e-02   9.9999908048134789e-01   6.0000000079479199e-01   1.4229901828461827e-08   0.0000000000000000e+00   0.0000000000000000e+00
0019   6.8359375000000000e-02   9.9999909043159696e-01   6.0000000078619198e-01   1.5040278696553627e-08   0.0000000000000000e+00   0.0000000000000000e+00
0020   7.2265625000000000e-02   9.9999910092973254e-01   6.0000000077711790e-01   1.5841594112475431e-08   0.0000000000000000e+00   0.0000000000000000e+00
0021   7.6171875000000000e-02   9.9999911196943547e-01   6.0000000076757531e-01   1.6633364474966867e-08   0.0000000000000000e+00   0.0000000000000000e+00
0022   8.0078125000000000e-02   9.9999912354405673e-01   6.0000000075757010e-01   1.7415113869631552e-08   0.0000000000000000e+00   0.0000000000000000e+00
0023   8.3984375000000000e-02   9.9999913564663012e-01   6.0000000074710835e-01   1.8186370556210965e-08   0.0000000000000000e+00   0.0000000000000000e+00
0024   8.7890625000000000e-02   9.9999914826984593e-01   6.0000000073619697e-01   1.8946671238691117e-08   0.0000000000000000e+00   0.0000000000000000e+00
0025   9.1796875000000000e-02   9.9999916140611567e-01   6.0000000072484261e-01   1.9695558551039356e-08   0.0000000000000000e+00   0.0000000000000000e+00
0026   9.5703125000000000e-02   9.9999917504751934e-01   6.0000000071305271e-01   2.0432582041015030e-08   0.0000000000000000e+00   0.0000000000000000e+00
0027   9.9609375000000000e-02   9.9999918918586184e-01   6.0000000070083503e-01   2.1157299634161853e-08   0.0000000000000000e+00   0.0000000000000000e+00
0028   1.0351562500000000e-01   9.9999920381260776e-01   6.0000000068819725e-01   2.1869275405169254e-08   0.0000000000000000e+00   0.0000000000000000e+00
0029   1.0742187500000000e-01   9.9999921891892729e-01   6.0000000067514758e-01   2.2568083603745203e-08   0.0000000000000000e+00   0.0000000000000000e+00
0030   1.1132812500000000e-01   9.9999923449576478e-01   6.0000000066169423e-01   2.3253305336462478e-08   0.0000000000000000e+00   0.0000000000000000e+00
0031   1.1523437500000000e-01   9.9999925053370420e-01   6.0000000064784553e-01   2.3924529938064885e-08   0.0000000000000000e+00   0.0000000000000000e+00
0032   1.1914062500000000e-01   9.9999926702310493e-01   6.0000000063361025e-01   2.4581356151553671e-08   0.0000000000000000e+00   0.0000000000000000e+00
0033   1.2304687500000000e-01   9.9999928395403137e-01   6.0000000061899650e-01   2.5223391291378383e-08   0.0000000000000000e+00   0.0000000000000000e+00
0034   1.2695312500000000e-01   9.9999930131627346e-01   6.0000000060401326e-01   2.5850250885725187e-08   0.0000000000000000e+00   0.0000000000000000e+00
0035   1.3085937500000000e-01   9.9999931909938444e-01   6.0000000058866931e-01   2.6461560138961659e-08   0.0000000000000000e+00   0.0000000000000000e+00
0036   1.3476562500000000e-01   9.9999933729264012e-01   6.0000000057297220e-01   2.7056953004198958e-08   0.0000000000000000e+00   0.0000000000000000e+00
0037   1.3867187500000000e-01   9.9999935588508548e-01   6.0000000055693115e-01   2.7636072181595377e-08   0.0000000000000000e+00   0.0000000000000000e+00
0038   1.4257812500000000e-01   9.9999937486552959e-01   6.0000000054055380e-01   2.8198569893248731e-08   0.0000000000000000e+00   0.0000000000000000e+00
0039   1.4648437500000000e-01   9.9999939422251716e-01   6.0000000052384850e-01   2.8744107087428756e-08   0.0000000000000000e+00   0.0000000000000000e+00
0040   1.5039062500000000e-01   9.9999941394441083e-01   6.0000000050682312e-01   2.9272354164254561e-08   0.0000000000000000e+00   0.0000000000000000e+00
0041   1.5429687500000000e-01   9.9999943401930791e-01   6.0000000048948554e-01   2.9782990018700376e-08   0.0000000000000000e+00   0.0000000000000000e+00
0042   1.5820312500000000e-01   9.9999945443511840e-01   6.0000000047184299e-01   3.0275702567543094e-08   0.0000000000000000e+00   0.0000000000000000e+00
0043   1.6210937500000000e-01   9.9999947517954579e-01   6.0000000045390312e-01   3.0750190052288669e-08   0.0000000000000000e+00   0.0000000000000000e+00
